label,formula,atoms_before,atoms_after,reduction_ratio,sg_number,sg_symbol,success
mp-818265,Te2 Mo6 N4 O24,36,8,0.2222222222222222,173,P63,True
mp-818312,Ni1 S2 O12,15,8,0.5333333333333333,2,P-1,True
mp-818400,Fe4 S4 O24,32,8,0.25,14,P21/c,True
mp-849075,Ni1 S2,3,2,0.6666666666666666,191,P6/mmm,True
mp-849080,V1 S2,3,3,1.0,1,P1,True
mp-849098,V1 S2,3,2,0.6666666666666666,47,Pmmm,True
mp-850099,Cu1 S2,3,2,0.6666666666666666,115,P-4m2,True
mp-852960,Te2 P2 H2 O10,16,9,0.5625,2,P-1,True
mp-866820,Ca1 Sn1 S3,5,3,0.6,221,Pm-3m,True
mp-867980,K16 S40 O60,116,15,0.12931034482758622,60,Pbcn,True
mp-867987,Mn2 S4 N4 O28,38,10,0.2631578947368421,14,P21/c,True
mp-867999,Rb16 Te8 S32 O60,116,15,0.12931034482758622,60,Pbcn,True
mp-888449,Mg1 Cr7 S12 O48,68,68,1.0,1,P1,True
mp-936075,Ti4 S8,12,7,0.5833333333333334,2,P-1,True
mp-936895,V1 Fe2 Se4,7,7,1.0,1,P1,True
mp-936907,Fe12 Ni18 S40,70,70,1.0,1,P1,True
mp-937728,Cr2 Co1 Se4,7,4,0.5714285714285714,2,P-1,True
mp-938238,Mg3 Mo12 Se16,31,31,1.0,1,P1,True
mp-961667,Ca1 Ni1 Te1,3,3,1.0,216,F-43m,True
mp-962058,Y1 Se1 Cl1,3,3,1.0,216,F-43m,True
mp-972874,Se1 Br3,4,3,0.75,139,I4/mmm,True
mp-973269,Sb1 Te1 O3,5,3,0.6,221,Pm-3m,True
mp-974332,S3 Br1,4,3,0.75,139,I4/mmm,True
mp-974469,Re2 Te2,4,2,0.5,186,P63mc,True
mp-974505,Re1 Te1 O3,5,3,0.6,221,Pm-3m,True
mp-976627,Ge12 Rh8 Se12,32,16,0.5,2,P-1,True
mp-978501,Si3 Se1,4,3,0.75,225,Fm-3m,True
mp-978993,Th3 S1,4,3,0.75,139,I4/mmm,True
mp-979272,Te1 Pd1 O3,5,3,0.6,221,Pm-3m,True
mp-984712,Cr3 Se1,4,3,0.75,139,I4/mmm,True
mp-985545,Co1 Te1 O3,5,3,0.6,221,Pm-3m,True
mp-988253,Al12 S18,30,30,1.0,1,P1,True
mp-991329,Eu1 Mo6 S8,15,8,0.5333333333333333,2,P-1,True
mp-992066,In1 Mo6 Se8,15,8,0.5333333333333333,2,P-1,True
mp-998361,Ba1 Hf1 S3,5,4,0.8,65,Cmmm,True
